Pre-la-Joux: 6.7881017; 46.2332683!
La Petite Boeuferie: 1.0730871; 48.2003916!
Contis-Plage: -1.323354; 44.0911315!
Bas d'Auvergne: 3.4006004; 47.8471572!
Luchy: 3.406305; 47.8466738!
Sarrigny: 3.4074301; 47.859654!
La Combe: 5.3440865; 44.3957128!
Le Reaud: -1.4465328; 47.2060418!
Chez Sadry: 0.8678791; 45.8612646!
La Croix des Landes: -1.6858189; 48.0085316!
Gaubert: -1.6868945; 48.0112781!
La Bournee: 0.0583096; 47.1987442!
Novacelles: 3.6498767; 45.4375588!
Doranges: 3.6156839; 45.4067598!
La Carroite: 0.0674952; 47.2044695!
Les Vergers: -1.563409; 47.8308904!
Mougon: 0.467054; 47.1120774!
Les Chillaudieres: 0.4939779; 47.0805975!
Villevert: 0.4664642; 47.1111152!
La Dieubrie: -1.5732128; 47.8380654!
La Violais: -1.5754009; 47.837631!
Les Avanrys: -1.5691814; 47.8393249!
La Bardoulais: -1.573411; 47.8411651!
La Racaudiere: -1.4556319; 46.7792208!
L'Orbreteau: -1.4580352; 46.7795331!
L'Aubonniere: -1.4464266; 46.7807197!
Beaupre: -1.4416469; 46.7805397!
Les Landes: -1.4459637; 46.7993115!
Vallon: 2.7439829; 45.4578906!
La Blissiere: 0.5012372; 47.0852764!
Les Plantes: 0.4964954; 47.0824755!
Le Village des Rois: 0.477715; 47.0811833!
La Viniere: 0.4903328; 47.0827265!
Parcay-sur-Vienne: 0.4775692; 47.104044!
La Croix de Pierre: 0.4727919; 47.1094257!
Le Pont: 0.4806293; 47.1069709!
Le Pubert: 0.4684972; 47.086964!
La Pree: 0.4706071; 47.0936615!
La Cantiniere: 0.4978549; 47.0796391!
Conflans-sur-Lanterne: 6.2098681; 47.8160083!
Le Gasquet: 3.6851737; 44.0593846!
Terre Dieu: 3.4889413; 45.9456753!
Palazzi: 8.9324259; 42.6185504!
Clermont: -1.7376636; 47.9381208!
La Corbinais: -1.7424161; 47.9556554!
Saint-Pierre-en-Port: 0.4946787; 49.8069179!
Les Salles: 3.629001; 44.0997878!
Chicodier: 3.5068797; 45.9525431!
Caussols: 6.9000361; 43.7413269!
Rochon: 2.7641741; 45.4615855!
Usquain: -0.8819399; 43.3618097!
Campagne: -0.8947073; 43.3568111!
Clenord: 1.4187697; 47.5330911!
En Sarrade: 0.8722214; 43.6392245!
Les Caperas: 0.8756393; 43.6382164!
La Croix Jusse: -1.5495931; 48.1104029!
Allenwiller: 7.3779257; 48.6560627!
La Fosse: -1.5998885; 47.8488074!
Cisery: 4.0631736; 47.5100967!
Guillon: 4.0938799; 47.5138177!
Maillot: 3.3059563; 48.1744722!
Pisy: 4.1403293; 47.5541753!
Provency: 3.9552386; 47.546453!
Bures: -0.1822041; 49.2039407!
La Maison Neuve: 0.5288331; 47.0765439!
La Noraie: 0.5259931; 47.0789207!
Marnaize: 0.5286058; 47.0787058!
Les Vernieres: 0.5232898; 47.0733652!
Marcilly-sur-Vienne: 0.5393022; 47.0434794!
La Chaussee: -1.5561518; 47.8276594!
Les Mariaux: 0.5393786; 47.0678296!
L'Aunay Noyer: -0.6881311; 48.1930844!
Origne: -0.6981241; 48.1908817!
La Touche Bourdon: -0.7074622; 48.1824798!
La Vannerie: -0.7053587; 48.199542!
La Prouliere: -0.703868; 48.2035162!
La Touche Brou: -0.692761; 48.1880804!
L'Abbaye: -0.7031441; 48.1875995!
L'Ecottay: -0.7013576; 48.1903754!
Brechet: -0.7149523; 48.1968697!
La Gaudiniere: -0.68912; 48.163748!
Les Gasneries: -0.688162; 48.1654911!
Beauvois: 0.5135079; 47.0294705!
Le Peux Blanc: 0.5143541; 47.0277186!
Sainte-Neomaye: -0.258801; 46.3700844!
Romans: -0.2281165; 46.3599089!
Aiript: -0.2525195; 46.362737!
Aigonnay: -0.259276; 46.3300126!
Prailles: -0.2182392; 46.3225827!
Argentiere: -0.2044747; 46.3325472!
Souvigne: -0.1877026; 46.3729972!
La Mothe-Saint-Heray: -0.1121653; 46.3604416!
Les Martins: 0.5214115; 47.048832!
Les Perrieres: 0.5294216; 47.0416199!
Les Besnaux: 0.5259342; 47.0431932!
Poggio: 8.6836176; 41.9637558!
La Carquois: -2.3847131; 48.6449739!
Stuppielli: 8.614982; 41.9452739!
Pagliaggioli: 8.6160217; 41.9611871!
Haltzuia: -1.3989589; 43.3526398!
Le Bignon-du-Maine: -0.6104921; 47.9509243!
Les Jaunaies: -1.5605039; 47.8270339!
Maisoncelles-du-Maine: -0.6515387; 47.9644133!
Le Bourg: -1.5623906; 47.8273288!
Villiers-Charlemagne: -0.6761611; 47.9224899!
Houssay: -0.7358512; 47.914513!
Astille: -0.8523141; 47.9627628!
Simple: -0.8512936; 47.8877486!
Quelaines-Saint-Gault: -0.8030894; 47.9243095!
Origne: -0.7298533; 47.9528646!
Peuton: -0.8220678; 47.8853553!
Les Brueres: -1.5705766; 47.8308418!
Jahanne: -0.5826639; 47.0902089!
Le Plessis: -0.5583641; 47.1126295!
Les Amions: -0.5740012; 47.1057932!
La Quartraiche: -0.5801517; 47.0988299!
Les Landes: -0.5782276; 47.0913627!
Bellefond: -0.5800519; 47.0897054!
Bel-Air: -0.5873411; 47.0960347!
Le Pre de la Selle: -0.5772222; 47.1131037!
La Petite Quartraiche: -0.5881502; 47.0997351!
Le Chevre-Feuille: -0.5866136; 47.1007315!
La Serondiere: -0.5827039; 47.1097498!
La Chauviniere: -0.5890005; 47.1087333!
Molinier: 2.2224205; 43.6354987!
Campans: 2.1986566; 43.6477158!
Benazeth: 2.223107; 43.632159!
Sceaux: 4.021748; 47.5302783!
Vignes: 4.1190444; 47.5245775!
Le Forest: 5.954518; 44.1203254!
Sourribes: 6.0153735; 44.1478891!
Le Gravas: 5.9504021; 44.1183904!
Aubignosc: 5.9692149; 44.1296383!
Les Cazeaux: 0.54785; 47.0149217!
Ports: 0.5534383; 47.0161003!
La Petite Geniere: -0.5419331; 47.110986!
La Sauveterie: -0.5427272; 47.1074543!
La Grand Guilleron: -0.538128; 47.1098469!
La Reniere: -0.5284105; 47.1151773!
Le Petit Guilleron: -0.5365123; 47.1136851!
La Grande Geniere: -0.5447113; 47.1111892!
La Frenaie: -0.5392649; 47.1194221!
Les Places: 0.5024692; 47.0168745!
La Benardiere: -0.5627696; 47.1168665!
La Tremblaie: -0.5603774; 47.1212466!
La Petite Tremblaie: -0.5597035; 47.1198421!
La Foret: -0.5721229; 47.1276716!
La Maution: -0.5707502; 47.1233205!
La Thelande: -0.5735266; 47.1205799!
La Renoue: -0.5684132; 47.1129871!
La Martiniere: -0.5791337; 47.1252577!
La Perriere: -0.5599884; 47.1236862!
La Piocherie: 0.4385184; 47.0058813!
La Cretochere: 1.115216; 48.1715092!
Villevert: 0.4517464; 46.9998337!
La Butte: -1.6663772; 48.4208102!
Rilly-sur-Vienne: 0.4927442; 47.0567503!
Les Rues: -2.3563405; 48.6296977!
Les Serrueres: 0.4855983; 47.0432929!
Le Grand Trecelin: -2.3221111; 48.6360603!
Les Vigneaux: 0.4882736; 47.0679453!
Perray: 0.4915128; 47.0667179!
Gryere: 0.5058585; 47.055913!
Le Grand Douce: 0.5058326; 47.0441168!
Saint-Gall: 7.3281915; 48.6906381!
Les Claris: 3.9121789; 43.9591192!
La Glerasier: -1.6693631; 48.4241878!
Les Peux: 0.538992; 47.0066925!
Le Grand Longueron: 3.4094322; 47.9523439!
Champlay: 3.4381639; 47.9508644!
Champvallon: 3.3453719; 47.9332733!
La Ferte-Loupiere: 3.2347239; 47.8955463!
Chamvres: 3.3592426; 47.9567149!
Paroy-sur-Tholon: 3.3750943; 47.9555055!
Vieil Audon: 4.3629748; 44.5058198!
Le Bec des Deux Eaux: 0.5646311; 47.0031691!
Le Puy Cadoret: -0.5996943; 47.1083155!
La Courtiere: -0.5884451; 47.1123327!
Le Puy Montbault: -0.5975735; 47.1092673!
La Feuillee: -0.5917008; 47.1169678!
Belleville: -0.5840511; 47.1239509!
La Moinard: -0.5949337; 47.120565!
Les Champs Blancs: 1.1388345; 48.182373!
Luze: 0.4534683; 47.0229173!
La Haute Beunoche: -0.5690538; 47.1307287!
Noue Roche: -0.5777183; 47.1319109!
La Basse Beunoche: -0.5645695; 47.1258529!
La Plardiere: 1.1264061; 48.1806593!
La Briche: 1.1309415; 48.1754975!
La Lambardiere: 1.136631; 48.178611!
L'Horn: 3.5141116; 44.2259385!
La Grange Neuve: 0.4798715; 47.0238348!
Bierry-les-Belles-Fontaines: 4.1836424; 47.5964885!
Epineau-les-Voves: 3.4731335; 47.9461728!
Beon: 3.3192733; 47.9529003!
Chichery: 3.5107999; 47.9035931!
La Pree: -0.5455106; 47.0834501!
Les Corbineaux: -0.5516122; 47.0794744!
Goubille: 3.3665522; 47.8394217!
Petit Chaumont: 3.3324295; 47.8520311!
Grand Chaumont: 3.3355705; 47.8490762!
Malay-le-Grand: 3.3419505; 48.1765586!
Cussy-les-Forges: 4.0259997; 47.4705286!
Vassy-sous-Pisy: 4.1699716; 47.5687326!
Voisines: 3.3933603; 48.251697!
Tanlay: 4.0851938; 47.8480539!
Villiers-sur-Tholon: 3.3372609; 47.8882803!
Senan: 3.3584674; 47.912094!
La Sicardie: 2.2033732; 43.6336647!
Neuilly: 3.4372385; 47.9160778!
Villemer: 3.4734706; 47.9145934!
Branches: 3.4810551; 47.8814647!
Fleury-la-Vallee: 3.4471728; 47.8675536!
Le Grand Ponceau: 3.4436329; 47.8440924!
Volgre: 3.3273752; 47.9173002!
Guerchy: 3.4391053; 47.892487!
Castanet (Hameau): 0.8011012; 43.6725612!
La Boirie: 2.0733652; 47.1717524!
La Chambellerie: 2.0722523; 47.1818316!
La Pelofiere: -1.6606999; 48.4247765!
Les Cazals: 3.9120126; 43.9601297!
Poitevin: 0.4405012; 47.0397669!
Le Jardin: 0.4676797; 47.0474243!
Le Cambon: 3.8888288; 43.9595353!
Anquin: 3.354387; 47.8151182!
Chaillot: 3.39485; 47.8243895!
La Levee: 3.3701381; 47.8343158!
Mormont: 3.3850899; 47.8232399!
Les Barraques: 0.8933132; 43.6696013!
Trevilly: 4.0587414; 47.5300591!
Villefranche: 3.1309538; 47.9411544!
Sauvigny-le-Bois: 3.9405656; 47.5142063!
Sauvigny-le-Beureal: 4.1088144; 47.4865425!
Verneuil-le-Chateau: 0.4557145; 47.0380932!
Errancourt: 3.4069007; 49.60774!
Missancourt: 3.4124697; 49.621759!
Le Chene: 0.4257456; 46.9993548!
Braslou: 0.3937681; 47.0004245!
L'Hommage: -0.5602583; 47.0830478!
La Grande Fraudiere: -0.5531636; 47.079017!
Le Moulin Casse: -0.5552293; 47.0825034!
Le Chapelet: -0.5786741; 47.0857327!
La Coulee: -0.5810981; 47.0880358!
Le Millery: 0.4229966; 46.9949736!
La Juderie: 0.3928801; 47.0078397!
Champigny le Sec: 0.4172756; 46.9956791!
La Chainaie: 0.4296343; 47.0139611!
La Couture: 0.4009938; 46.9889547!
La Babiniere: 0.4117786; 47.0037952!
La Grande Baudonniere: 1.1092334; 48.1673297!
La Petite Boudonniere: 1.1130836; 48.1670958!
Julliere: 5.6666232; 44.9086555!
La Bouquetiere: 1.1309216; 48.1647687!
La Camusiere: 1.1220356; 48.1674582!
Garcinniere: 5.6569765; 44.924023!
Le Gastelier: 1.1103012; 48.1621072!
Le Souchay: 1.1236396; 48.1558842!
La Houssaye au Fortier: 1.1137462; 48.1571732!
La Lande Bergere: -0.5522624; 47.0972258!
La Mitournee: -0.5331264; 47.1081605!
La Roche Derriere: -0.5706459; 47.0978891!
La Garniere: -0.5588771; 47.0971606!
Savigny-en-Terre-Plaine: 4.08593; 47.4953565!
Saint-Andre-en-Terre-Plaine: 4.0601265; 47.4801897!
Saint-Brancher: 3.9966803; 47.4261876!
Saint-Cyr-les-Colons: 3.7380395; 47.741844!
Saint-Germain-des-Champs: 3.920621; 47.4107484!
Sainte-Magnance: 4.0753293; 47.4502934!
Saint-Point: 4.6170559; 46.340167!
La Grande Porte: 1.1215765; 48.1525334!
La Butte: 1.1324041; 48.1514923!
La Petite Porte: 1.1202404; 48.1496994!
La Grosserie: 1.100409; 48.15523!
Le Blanchardier: 1.0971817; 48.155532!
La Grande Haye: 1.1102078; 48.1496405!
La Tibergerie: 1.1069628; 48.1596304!
Le Butardier: 1.0998682; 48.1620989!
Saint-Victurnien: 1.0123276; 45.877247!
Les Roches: 1.0594817; 48.2394045!
Les Begaudieres: 1.0683109; 48.2421052!
La Gaudarie: 1.0722614; 48.2359035!
Les Grandes Teteieres: 1.0509504; 48.2398958!
Les Grandes Giraudieres: 1.0461227; 48.2409183!
Les Molands: 1.061953; 48.2468888!
Champloiseau: 3.4253288; 47.8942891!
Cordeil: 3.4435965; 47.8981971!
Le Bourg: -1.5374037; 47.8058484!
La Loge: 3.5415355; 45.9486486!
La Goutte Chabrol: 3.5349078; 45.9487264!
Les Duviviers: 0.3663122; 46.9234443!
Ribaud: 0.357824; 46.9126634!
La Vaucellerie: 0.3659689; 46.9019416!
Luain: 0.3642318; 46.8952764!
Terraron: 0.4001117; 46.9348097!
Faye-la-Vineuse: 0.3418285; 46.9560195!
Marnay: 0.3562672; 46.9551496!
Beausejour: 0.3592607; 46.9569171!
Le Petit Martigny: 0.3747228; 46.9508902!
La Chauvellerie: 0.905243; 46.7540544!
La Chardonniere: 0.889428; 46.7469779!
Bleigny-le-Carreau: 3.6820978; 47.8354427!
Channay: 4.3316111; 47.8817088!
Vannaire: 4.5697236; 47.9136405!
Obtree: 4.5571018; 47.9227246!
Villotte-sur-Ource: 4.6798889; 47.8630563!
Bissey-la-Cote: 4.7094354; 47.9116236!
Chaumont-le-Bois: 4.5779628; 47.9248416!
Layer-sur-Roche: 4.685817; 47.8923348!
Gaubving: 6.9221618; 49.1561868!
Pecqueuse: 2.052701; 48.6469183!
La Daviere des Landes: -1.9104086; 47.1009115!
Lesignas: 0.8514287; 45.8608373!
Kergador4: -4.7764679; 48.4186709!
Ty war Laez: -4.7783418; 48.4191019!
Kergador Kreiz: -4.7754243; 48.4192033!
Lanhalla: -4.7300923; 48.4594435!
La Bissonniere: -0.4953118; 48.789498!
Courteilles: -0.2012788; 48.773477!
Le Bas Coigny: -0.0616849; 48.7487367!
Bissey: -0.1788221; 48.7777557!
Le Val du Bois d'Aumont: -0.1303519; 48.7520917!
Kerambellec: -3.675202; 47.8115166!
Le Chateau: 2.9114837; 50.6128146!
La Maladrerie: 3.3641914; 47.918339!
Villemoyenne: 4.2283835; 48.1784376!
Courteron: 4.4453638; 48.0195556!
Courtenot: 4.3035507; 48.1487407!
Bourguignons: 4.3552869; 48.1322612!
Chappes: 4.2459619; 48.1653449!
Foucheres: 4.2645152; 48.151244!
Celles-sur-Ource: 4.4015456; 48.0766173!
Les Terres Communes: 0.381435; 46.9243655!
La Sicarderie: 0.3757571; 46.9217941!
Saint-Christophe: 0.3714778; 46.9204973!
Sigault: 0.3826972; 46.9182304!
Ricey-Haute-Rive: 4.3732488; 47.9941507!
Ricey-Bas: 4.3692019; 48.0059722!
Le Vannage: 4.3603596; 47.962903!
Griselles: 4.3522331; 47.8675798!
Marcenay: 4.4051435; 47.8607354!
Ricey-Haut: 4.3702062; 47.9851815!
La Bougerie: 1.0700708; 48.2246505!
La Brosse: 1.0736038; 48.2242774!
Les Petites Touchardieres: 1.0770894; 48.2228227!
La Grande Breteche: 1.0615151; 48.232907!
La Petite Breteche: 1.0591342; 48.2265469!
Noce: 1.0544921; 48.2323804!
La Bellangerie: 1.0732372; 48.2338022!
Rourebeau: 5.8911796; 44.3146426!
Le Chateau d'Ancelle: 6.1924999; 44.6185589!
Lardier-et-Valenca: 5.981154; 44.4350833!
Les Fourniers: 5.8911293; 44.2816862!
Plan-de-Vitrolles: 5.954697; 44.4121902!
La Batie-Neuve: 6.195795; 44.5649889!
Montmie: 2.8801431; 45.5506224!
Montaleix: 2.9023084; 45.5568522!
La Chenais Ronde: -1.5378484; 47.8110861!
Glandon: 1.226415; 45.4781541!
Glaine-Montaigut: 3.3884006; 45.7553098!
Les Genestoux: 3.387928; 45.7595255!
Keryoualen: -3.6239179; 47.7966006!
Kergostiou: -3.6245621; 47.7940779!
Glaignes: 2.8475955; 49.269727!
Cambo: 3.8031833; 43.9787836!
Verbrise: 0.0503279; 47.0369786!
Veniers: 0.0866401; 47.0353935!
Le Bas Nire: 0.0593096; 47.0267016!
Le Bue: 0.0625891; 47.0275196!
La Quebrie: 0.0636678; 47.0286705!
Cournier: 3.9090008; 44.0175405!
Massane: 3.9123962; 44.0195636!
Kerhuiten: -3.6210205; 47.7956016!
Cosquer Coum: -4.5847855; 48.5739349!
Le Chene Rond: -1.5438864; 47.8135587!
Les Genievres: 0.3845337; 46.9438358!
Les Timbrelles: 0.3868006; 46.9521437!
Rouville: 2.8727224; 49.2095696!
Petit Villers: 2.8538103; 49.2098498!
Bazoche: 2.841008; 49.2242865!
Saint-Christophe: 2.5976532; 49.2604553!
Amirat: 6.8268346; 43.8903762!
Gars: 6.8029582; 43.8653473!
Le Haut Nire: 0.0590497; 47.0234711!
La Maison Neuve: 0.0621467; 47.0214711!
Nire le Dolent: 0.0570325; 47.0213376!
Val-de-Chalvagne: 6.8079459; 43.9145218!
Yvillers: 2.6741596; 49.2690423!
Thorenc: 6.808642; 43.8066944!
Boasne: 2.7215749; 49.2111342!
Ducy: 2.7454151; 49.2112976!
Basbolin: 5.7026042; 45.4146008!
Ture: 5.6730695; 45.411878!
Le Guillet: 5.7225821; 45.4218888!
Le Hutrel: -0.9202241; 48.954082!
Les Bessardieres: -0.9006493; 48.9581236!
Le Hamel Vincent: -0.9244461; 48.9478849!
Ferrieres Poussarou: 2.8912657; 43.4849253!
Cassillac: 2.8144227; 43.49252!
Euzedes: 2.8532331; 43.4995951!
Pousselieres: 2.8849064; 43.471391!
La Fraise: 2.8989759; 43.4845924!
Rossay I: 0.1424985; 46.9828867!
La Chataigneraie: -1.4342257; 47.1895178!
Le Grand Puits d'Ardanne: 0.1158409; 46.9692089!
Nouere: 0.1266332; 46.978867!
Lassay: 0.058755; 46.9981928!
Faubourg Saint-Lazare: 0.0893916; 47.0011406!
Fabre: 3.8858058; 43.9824708!
La Morlais: -1.5672551; 48.2469018!
Le Placis Rocher: -1.5535577; 48.241378!
La Chabossiere: -1.4153036; 47.195056!
Le Puech: 3.8113804; 44.0088008!
Le Buisson: 3.8187114; 44.0078312!
La Mazade: 3.8165227; 43.9996019!
Le Bouzigaud: 3.8163619; 44.0010894!
Valestaliere: 3.8525833; 44.0158184!
Les Jonquas: 3.8906981; 43.9994437!
Unas: 3.9025237; 44.0054561!
Voissieres: 2.8854467; 45.5583639!
Moneaux: 2.8670918; 45.5540823!
La Caillatiere: 5.6861439; 45.4622086!
La Garonniere: 5.6870688; 45.459639!
Saint-Sixte: 5.6299598; 45.427835!
La Chapelle: 5.6777323; 45.4531499!
Les Combes: 4.6560311; 45.6642232!
Le Petit Puits d'Ardanne: 0.1078926; 46.9714497!
Les Gros: -0.0606658; 46.7101187!
Les Hommes: -0.0559929; 46.7150566!
Buzay: -0.0426149; 46.723573!
Villeret: 0.0335687; 45.9810478!
La Boissiere: -0.0655119; 46.6986579!
La Claveliere: -0.0742876; 46.7259823!
La Maisonneau: -0.0727649; 46.7201018!
Le Peux: -0.0631494; 46.732891!
Cande: 0.0676587; 47.0460467!
Montardit: 1.1975521; 43.0717117!
Cap de Bos: -0.6824821; 44.7935908!
Magonty: -0.702545; 44.7942608!
Bourgneuf: -0.5368485; 47.0940813!
La Roche Cochault: -0.5325267; 47.0865008!
La Sermonniere: -0.5412004; 47.0839465!
Cheu: 3.7650752; 47.9651669!
Meheran: 0.0763819; 48.6217657!
Cuissai: 0.0168198; 48.4705951!
La Brulerie: 0.1361684; 48.7109719!
Medavy: 0.0889576; 48.6773586!
Le Mesnil: 0.0997753; 48.6902833!
Almeneches: 0.1084433; 48.6971496!
Le Double: -1.7199871; 48.035901!
Aulnoy: 3.0956698; 48.8411862!
Crisenoy: 2.7431226; 48.5961401!
Le Beugnon: -0.5553775; 47.0922403!
Le Vaudelenay: -0.5470762; 47.0856845!
La Gaubretiere: -0.5613894; 47.0867308!
La Puy Daviere: -0.5607363; 47.0940616!
La Chatelier: -0.5624748; 47.073583!
La Giraudiere: -0.530473; 47.0784236!
Verseret: -0.554403; 47.069479!
La Daviere: -0.5645688; 47.0779929!
La Petite Fraudiere: -0.5501202; 47.0794545!
La Reussite: -0.5573558; 47.0660774!
La Raimbaudiere: -0.5557956; 47.0703237!
Les Trois Chenes: -0.5308619; 47.0838703!
Les Pailles: 0.1654731; 46.9873379!
Geneton: 0.1826074; 46.964226!
Le Puy Saboureau: 0.1760171; 46.9600022!
La Chapelle: 0.1846425; 46.956924!
Messeme: 0.1760269; 47.0116432!
Neriau: 0.0766343; 46.9860319!
La Chapelle: 1.4102312; 45.5942202!
Villiers: 0.1589565; 47.018743!
La Tenue: -2.1360089; 47.6471958!
Jerusalem: 0.1373521; 46.9476052!
Les Poubleaux: 0.1453809; 46.964869!
Le Grand Varenne: 0.1623421; 46.9719536!
La Roche-Rigault: 0.177567; 46.969856!
Charriere: 0.1485452; 46.9767114!
Turzay: 0.1838883; 46.9683907!
Nore: 0.1882889; 46.9833509!
Claunay: 0.1939678; 46.9915268!
Les Clos de la Brandalliere: 0.1823095; 46.9872841!
La Tuilerie: 1.529249; 48.9864816!
Seugne: 0.0697483; 46.974815!
Mazault: 0.0865411; 46.9822696!
Chalais: 0.087395; 46.9717152!
La Guieze: 2.8758956; 45.559341!
Les Basses Maisons: -0.590395; 47.0761003!
La Doigtee: -0.5853838; 47.0655957!
Le Pavillon: -0.5777175; 47.0693584!
La Petit Blotiere: -0.5851752; 47.0701923!
Varancay: -0.579285; 47.066433!
Les Blotieres: -0.5865883; 47.0704909!
Le Bouil: -1.530616; 46.4122404!
La Petite Toutiere: -0.5310759; 47.1023317!
La Toutiere: -0.5257247; 47.1035476!
La Grande Toutiere: -0.5290504; 47.1040825!
La Basse Revelette: -0.5180269; 47.1071507!
La Vrine: 6.3368828; 46.9790962!
Brion: 3.4801141; 47.9955011!
Fouronnes: 3.5678305; 47.6124688!
Le Grand Insay: 0.0338643; 47.0173321!
Les Vaux Sainte-Marie: 0.0123814; 47.0251198!
Les Ecouboilles: -0.5091658; 47.1097577!
Les Marchais: -0.5029445; 47.1018747!
Belle Arrivee: -0.509986; 47.104793!
La Haute Revelette: -0.5178414; 47.1102732!
La Liberte: -0.5199987; 47.0930001!
La Simmoniere: -0.5069871; 47.1186758!
La Reveillere: -0.5150178; 47.0952635!
Germier: 0.0453909; 47.0042014!
Preuilly: 0.0248261; 46.9981792!
Le Petit Insay: 0.0491054; 47.0202646!
Mouterre-Silly: 0.0443532; 46.9751472!
Silly: 0.0532682; 46.9672914!
Nire les Landes: 0.0657752; 46.9852105!
Chasseignes: 0.0305018; 46.9681481!
Sainte-Catherine: 0.0351488; 46.9423962!
Villette: 5.7232836; 45.4006444!
Le Haut Messeme: 0.1832477; 47.0038598!
Chevannes: 3.4921866; 47.7518067!
Coulanges-sur-Yonne: 3.5424891; 47.5274303!
Cravant: 3.6898895; 47.6839847!
Le Moulin Casse: -0.5219279; 47.0924147!
Le Taureau: -0.5159768; 47.0821398!
Le Grand Maurepas: -0.52037; 47.0907292!
La Rainsonniere: -0.5251597; 47.0807765!
Hagondange: 6.1678213; 49.2540313!
Brou: 0.0239399; 47.0043783!
Peyrignac: 1.1928737; 45.1588693!
Saint-Robert: 1.2924934; 45.2551893!
Badefols-d'Ans: 1.1958216; 45.2291677!
Germigny: 3.7797606; 47.9948118!
Fontaine-la-Gaillarde: 3.3802135; 48.2202563!
Saint-Martin-d'Ordon: 3.1742583; 48.0227431!
Turny: 3.7460532; 48.0345355!
Venoy: 3.6209153; 47.811443!
Vermenton: 3.7352814; 47.6639483!
Antoingt: 3.1751877; 45.5006195!
La Roche Vernaize: 0.0308581; 47.0357266!
Saint-Dremond: 0.0202924; 47.0414057!
Bernazay: 0.0238835; 47.0535144!
La Vigne: -1.5434668; 47.8078406!
Saint-Antoine: 5.0657548; 43.9345728!
Looze: 3.439813; 47.9910255!
Le Fougeray: -0.7020806; 48.1838522!
Les Noes: -0.7024511; 48.1899804!
La Tannerie: -0.6902072; 48.1612001!
Le Verger: -0.7073882; 48.1974974!
Le Tertre Ramier: -0.7100654; 48.1952649!
Vaon: 0.00366529999999; 47.068258!
Jaulges: 3.7888113; 47.9618461!
Le Plateau: 2.2008282; 48.9448634!
Beaulieu: -0.0075251; 47.0606624!
Piene Haute: 7.5153268; 43.9023134!
Petite Fete: -0.00803720000001; 47.0447236!
Grande Fete: -0.00171270000001; 47.0433925!
Bourdigal: -0.00479400000001; 47.0800478!
Champblanc: -0.3102867; 45.7539396!
Le Haut Janson: -1.57235; 48.2441768!
La Grettais: -1.5966443; 48.2458465!
Launay Blanchet: -1.5880005; 48.2464567!
Brezolles: 1.9551516; 48.9579819!
Kertouez: -3.9562469; 47.9015228!
Le Marais: -0.321191; 45.7734821!
Vilette: 5.7235447; 45.4018013!
Les Civets: 5.7251848; 45.4099582!
La Ville Blanche: -3.400995; 48.7441616!
Pont an Prajou: -3.3881636; 48.7496654!
L'Hopital: -3.378851; 48.7452086!
Kergoz: -3.3872838; 48.7443878!
Keriel: -3.423118; 48.7136314!
Convenant Yel: -3.3779282; 48.7199032!
Carpont: -3.364603; 48.7158259!
Kerhuel: -3.3944936; 48.7233573!
Croas Rolland: -3.3974977; 48.7294438!
Kergolvezen: -3.4019822; 48.7393221!
Coat Jorand: -3.3750958; 48.7195917!
Praast: 3.253358; 49.5531836!
Villette: 3.2457909; 49.552313!
Endegan: 0.9385279; 43.7281663!
Mestepey: 0.9495507; 43.7457888!
Empeycaperan: 0.9448238; 43.7287643!
Barcelonne-du-Gers: -0.2354142; 43.7028316!
La Plaine: 5.9008822; 44.5613497!
Basse Correo: 6.0072576; 44.5588653!
Manteyer: 5.9646616; 44.538293!
Rabou: 6.0051597; 44.5904821!
Haute Correo: 5.9963423; 44.5620645!
Le Dognon: 1.0929213; 45.6834989!
La Rougerie: 1.0761047; 45.2496615!
Les Marchands: 5.4130573; 43.932369!
La Reille: 2.3409336; 43.2245045!
Cucurlis: 2.3324202; 43.2277989!
Le Billard: 4.8369827; 45.881042!
Four a Chaux: 4.8323698; 45.880836!
Le Bas-Portail: 1.0548906; 45.2598239!
Biaroue: -0.3717326; 46.2047305!
Le Bas Maire: -0.4461127; 46.2785273!
Le Buisson: -0.4229105; 46.2732745!
Kermenguy: -3.3632189; 48.7194131!
Crec'h Quiniou: -3.3637983; 48.72567!
Convenant Quere: -3.3919936; 48.7361576!
Convenant Coatarel: -3.3973795; 48.7365539!
Convenant Coadou: -3.3951908; 48.7403606!
Convenant Pere: -3.3780676; 48.7339499!
Convenant Jegou: -3.3774453; 48.7301852!
Convenant Merrien: -3.3837754; 48.7267599!
Le Vot: -3.3818656; 48.7250896!
Feunteuniou: -3.3891398; 48.7213384!
La Salle: -3.3739693; 48.7344311!
Coz Verret: -3.3600647; 48.7351671!
Mouden: -3.3571465; 48.7334971!
Convenant Glas: -3.3816296; 48.7339357!
Squivit: -3.3789045; 48.7429926!
Le Crec'h: -3.3762652; 48.7362992!
Kerambron: -3.3804923; 48.7371766!
Kerambellec: -3.3742268; 48.7361576!
Kertanguy: -3.3714157; 48.7340207!
Goazoures: -3.3960491; 48.7488786!
Kerinou: -3.3883673; 48.7539718!
Pen ar Feunten: -3.3922082; 48.7546225!
Convenant Guen: -3.3800203; 48.7498407!
Cotel: -3.3750421; 48.7400917!
Pont Bren: -3.4094602; 48.739554!
Parcou Thomas: -3.4072264; 48.7263984!
Saint-Dogmael: -3.406145; 48.7309707!
